15-Feb-25 19:27:26 - Length of trainig data is  2119719
15-Feb-25 19:27:31 - Vocaab training legth to 2119719
15-Feb-25 19:27:31 - Training Non contextual tokeniser
15-Feb-25 19:27:32 - Training of Vocabulary complete
15-Feb-25 19:27:32 - Sentence: The Cat sat on the Fence
15-Feb-25 19:27:32 - Tokens:  ['The▁', 'C', 'at▁', 'sat▁', 'on▁', 'the▁', 'F', 'en', 'ce▁']
15-Feb-25 19:27:32 - Token IDs: [50, 1972, 53, 1106, 58, 15, 1971, 23, 122]
15-Feb-25 19:27:32 - Token folder already exisitng: ./train_tokens Not overwriting
15-Feb-25 19:27:32 - vocab_size=2000 embedding_dim/d_model=512
15-Feb-25 19:27:33 - Training model...
15-Feb-25 19:29:02 - [Epoch=1 | Batch=6375] loss=4.8224
15-Feb-25 19:29:02 - [Epoch=1 | Batch=6400] loss=4.6956
15-Feb-25 19:29:02 - [Epoch=1 | Batch=6425] loss=5.0253
15-Feb-25 19:29:03 - [Epoch=1 | Batch=6450] loss=5.0283
15-Feb-25 19:29:03 - [Epoch=1 | Batch=6475] loss=4.8841
15-Feb-25 19:29:03 - [Epoch=1 | Batch=6500] loss=4.7475
15-Feb-25 19:29:04 - [Epoch=1 | Batch=6525] loss=4.7450
15-Feb-25 19:29:04 - [Epoch=1 | Batch=6550] loss=4.6539
15-Feb-25 19:29:04 - [Epoch=1 | Batch=6575] loss=4.7866
15-Feb-25 19:29:05 - [Epoch=1 | Batch=6600] loss=4.7959
15-Feb-25 19:29:05 - [Epoch=1 | Batch=6625] loss=4.6531
15-Feb-25 19:29:05 - [Epoch=1 | Batch=6650] loss=4.6360
15-Feb-25 19:29:06 - [Epoch=1 | Batch=6675] loss=4.7417
15-Feb-25 19:29:06 - [Epoch=1 | Batch=6700] loss=4.7383
15-Feb-25 19:29:06 - [Epoch=1 | Batch=6725] loss=4.5971
15-Feb-25 19:29:07 - [Epoch=1 | Batch=6750] loss=4.7151
15-Feb-25 19:29:07 - [Epoch=1 | Batch=6775] loss=4.7074
15-Feb-25 19:29:07 - [Epoch=1 | Batch=6800] loss=4.5616
15-Feb-25 19:29:08 - [Epoch=1 | Batch=6825] loss=4.7768
15-Feb-25 19:29:08 - [Epoch=1 | Batch=6850] loss=5.0388
15-Feb-25 19:29:09 - [Epoch=1 | Batch=6875] loss=5.0923
15-Feb-25 19:29:09 - [Epoch=1 | Batch=6900] loss=4.9110
15-Feb-25 19:29:09 - [Epoch=1 | Batch=6925] loss=5.0755
15-Feb-25 19:29:10 - [Epoch=1 | Batch=6950] loss=5.0352
15-Feb-25 19:29:10 - [Epoch=1 | Batch=6975] loss=5.0036
15-Feb-25 19:29:10 - [Epoch=1 | Batch=7000] loss=4.9887
15-Feb-25 19:29:11 - [Epoch=1 | Batch=7025] loss=4.8499
15-Feb-25 19:29:11 - [Epoch=1 | Batch=7050] loss=4.9936
15-Feb-25 19:29:11 - [Epoch=1 | Batch=7075] loss=5.0016
15-Feb-25 19:29:12 - [Epoch=1 | Batch=7100] loss=5.0327
